date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:35	51581/51581	---MC-	200	added ('OK')	application/json	date:Sat,%2015%20Apr%202017%2022:04:26%20GMT	http://localhost/wordpress/wp-json/	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-json/index.html	(from http://localhost/wordpress/)
18:05:09	202114/202114	---M--	200	added ('OK')	image/png	etag:%2231582-54d3a77abbc19%22	http://localhost/wordpress/wp-content/uploads/2016/11/1-1024x481.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2016/11/1-1024x481.png	(from http://localhost/wordpress/)
18:05:37	378596/378596	---M--	200	added ('OK')	image/png	etag:%225c6e4-54d3a7796a9a6%22	http://localhost/wordpress/wp-content/uploads/2016/11/3-1024x480.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2016/11/3-1024x480.png	(from http://localhost/wordpress/)
18:05:51	528063/528063	---M--	200	added ('OK')	image/jpeg	etag:%2280ebf-54d3503e4a4c7%22	http://localhost/wordpress/wp-content/themes/advance/images/slider.jpg	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/images/slider.jpg	(from http://localhost/wordpress/)
18:06:12	219817/219817	---M--	200	added ('OK')	image/png	etag:%2235aa9-54d3a7e7d1167%22	http://localhost/wordpress/wp-content/uploads/2016/11/2-1-1024x486.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2016/11/2-1-1024x486.png	(from http://localhost/wordpress/)
18:06:13	458941/458941	---M--	200	added ('OK')	text/css	etag:%22700bd-5417f8904d2c0%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min972f.css	(from http://localhost/wordpress/)
18:06:14	28986/28986	---M--	200	added ('OK')	text/css	etag:%22713a-5417f8a918d40%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min972f.css	(from http://localhost/wordpress/)
18:06:16	52885/52885	---M--	200	added ('OK')	text/css	etag:%22ce95-5417f8a7308c0%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min.css?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min972f.css	(from http://localhost/wordpress/)
18:06:16	3424/3424	---M--	200	added ('OK')	text/css	etag:%22d60-5417f8a918d40%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/flexslider/flexslider.min.css?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/flexslider/flexslider.min972f.css	(from http://localhost/wordpress/)
18:06:16	20683/20683	---M--	200	added ('OK')	text/css	etag:%2250cb-5417f8a918d40%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min972f.css	(from http://localhost/wordpress/)
18:06:17	406655/406655	---M--	200	added ('OK')	image/png	etag:%226347f-54d3a77bf8252%22	http://localhost/wordpress/wp-content/uploads/2016/11/2-1024x460.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2016/11/2-1024x460.png	(from http://localhost/wordpress/)
18:06:18	726/726	---M--	200	added ('OK')	application/javascript	etag:%222d6-54d2482b7ded3%22	http://localhost/wordpress/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/stickThis.js?ver=2.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/stickThis7406.js	(from http://localhost/wordpress/)
18:06:18	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22576-541f8014be840%22	http://localhost/wordpress/wp-includes/js/wp-embed.min.js?ver=4.7.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-includes/js/wp-embed.minfe9d.js	(from http://localhost/wordpress/)
18:06:20	16678/16678	---M--	200	added ('OK')	application/javascript	etag:%224126-54d276f4f0e10%22	http://localhost/wordpress/wp-content/plugins/page-scroll-to-id/js/page-scroll-to-id.min.js?ver=1.6.2	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/page-scroll-to-id/js/page-scroll-to-id.min1f22.js	(from http://localhost/wordpress/)
18:06:21	19302/19302	---M--	200	added ('OK')	application/javascript	etag:%224b66-5417f89f8f6c0%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min972f.js	(from http://localhost/wordpress/)
18:06:21	8044/8044	---M--	200	added ('OK')	application/javascript	etag:%221f6c-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min.js?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min972f.js	(from http://localhost/wordpress/)
18:06:25	21638/21638	---M--	200	added ('OK')	application/javascript	etag:%225486-5417f8552c740%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/flexslider/jquery.flexslider-min.js?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/bower/flexslider/jquery.flexslider-min972f.js	(from http://localhost/wordpress/)
18:06:25	24112/24112	---M--	200	added ('OK')	application/javascript	etag:%225e30-5417f8a26bd80%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/lib/prettyphoto/js/jquery.prettyPhoto.min.js?ver=5.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/lib/prettyphoto/js/jquery.prettyPhoto.min972f.js	(from http://localhost/wordpress/)
18:06:26	16357/16357	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202017%2022:06:25%20GMT	http://localhost/wordpress/wp-content/themes/advance/images/tag.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/images/tag.png	(from http://localhost/wordpress/wp-content/themes/advance/style.css?ver=4.7.3)
18:06:27	200919/200919	---M--	200	added ('OK')	image/png	etag:%22310d7-54d3a7e9126c2%22	http://localhost/wordpress/wp-content/uploads/2016/11/1-1-1024x488.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2016/11/1-1-1024x488.png	(from http://localhost/wordpress/)
18:06:27	1896/1896	---M--	200	added ('OK')	image/png	etag:%22768-54d3503e48581%22	http://localhost/wordpress/wp-content/themes/advance/images/list_type.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/images/list_type.png	(from http://localhost/wordpress/wp-content/themes/advance/style.css?ver=4.7.3)
